artist,song,week_number,chart_rank,date
"Brock, Chad",A Country Boy Can Survive,1,93.0,2000-01-01
"Cagle, Chris",My Love Goes On And On,1,99.0,2000-10-21
"Byrd, Tracy",Put Your Hand In Mine,1,81.0,2000-01-29
Metallica,I Disappear,1,86.0,2000-05-13
Jay-Z,Hey Papi,1,98.0,2000-08-12
Fatboy Slim,The Rockafeller Skank,1,94.0,1999-11-13
"Levert, Gerald",Mr. Too Damn Good,1,84.0,2000-03-18
"McKnight, Brian",Stay Or Let It Go,1,95.0,2000-02-26
"Allan, Gary",Smoke Rings In The Dark,1,80.0,2000-01-22
Ginuwine,The Best Man I Can Be,1,97.0,2000-01-08
Before Dark,Monica,1,95.0,2000-05-20
"Estefan, Gloria",No Me Dejes De Querer,1,77.0,2000-06-10
Stone Temple Pilots,Sour Girl,1,79.0,2000-07-08
Montgomery Gentry,Daddy Won't Sell The Farm,1,87.0,2000-03-04
"Cyrus, Billy Ray",You Won't Be Lonely Now,1,97.0,2000-09-23
Clark Family Experience,Meanwhile Back At The Ranch,1,87.0,2000-11-18
"Thomas, Carl",Summer Rain,1,82.0,2000-09-23
"Yearwood, Trisha",Real Live Woman,1,85.0,2000-04-01
Trick Daddy,Shut Up,1,99.0,2000-05-20
"Moore, Chante",Straight Up,1,98.0,2000-10-28
Cam'ron,What Means The World To You,1,94.0,2000-10-14
Juvenile,U Understand,1,85.0,2000-02-05
"Hollister, Dave",Can't Stay,1,84.0,2000-03-25
Tamia,Can't Go For That,1,90.0,2000-09-16
LFO,West Side Story,1,96.0,2000-08-05
"Paisley, Brad",Me Neither,1,87.0,2000-05-13
"Carter, Torrey",Take That,1,94.0,2000-06-24
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),1,91.0,2000-09-02
Madison Avenue,Don't Call Me Baby,1,98.0,2000-07-08
Eve,Got It All,1,89.0,2000-07-15
Limp Bizkit,Re-Arranged,1,91.0,1999-12-04
"Spencer, Tracie",Still In My Heart,1,95.0,2000-03-04
Nu Flavor,3 Little Words,1,97.0,2000-06-03
Tamar,If You Don't Wanna Love Me,1,98.0,2000-03-25
"Levert, Gerald",Baby U Are,1,96.0,2000-08-19
"Hart, Beth",L.A. Song,1,99.0,1999-11-27
"Diffie, Joe",The Quittin' Kind,1,98.0,2000-01-01
Funkmaster Flex,Do You,1,92.0,2000-11-11
"Price, Kelly",Love Sets You Free,1,92.0,2000-05-13
En Vogue,Riddle,1,92.0,2000-06-17
"Herndon, Ty",No Mercy,1,100.0,2000-03-18
Anastacia,I'm Outta Love,1,92.0,2000-04-01
Trina,Pull Over,1,97.0,2000-09-09
Lil' Mo,Ta Da,1,100.0,2000-08-12
A*Teens,Dancing Queen,1,97.0,2000-07-08
"Sheist, Shade",Where I Wanna Be,1,96.0,2000-11-11
De La Soul,All Good?,1,96.0,2000-12-23
"Larrieux, Amel",Get Up,1,100.0,2000-03-04
"Braxton, Toni",Spanish Guitar,1,98.0,2000-12-02
Tuesday,I Know,1,98.0,2000-12-30
LL Cool J,Imagine That,1,99.0,2000-08-12
Master P,Souljas,1,98.0,2000-11-18
Ghostface Killah,Cherchez LaGhost,1,98.0,2000-08-05
"Smith, Will",Freakin' It,1,99.0,2000-02-12
Zombie Nation,Kernkraft 400,1,99.0,2000-09-02
"Eastsidaz, The",Got Beef,1,99.0,2000-07-01
Fragma,Toca's Miracle,1,99.0,2000-10-28
Destiny's Child,Independent Women Part I,2,63.0,2000-09-30
Santana,"Maria, Maria",2,8.0,2000-02-19
Savage Garden,I Knew I Loved You,2,48.0,1999-10-30
Madonna,Music,2,23.0,2000-08-19
"Aguilera, Christina",Come On Over Baby (All I Want Is You),2,47.0,2000-08-12
Janet,Doesn't Really Matter,2,52.0,2000-06-24
Destiny's Child,Say My Name,2,83.0,2000-01-01
"Iglesias, Enrique",Be With You,2,45.0,2000-04-08
Sisqo,Incomplete,2,66.0,2000-07-01
Lonestar,Amazed,2,54.0,1999-06-12
N'Sync,It's Gonna Be Me,2,70.0,2000-05-13
"Aguilera, Christina",What A Girl Wants,2,51.0,1999-12-04
Vertical Horizon,Everything You Want,2,61.0,2000-01-29
Creed,With Arms Wide Open,2,78.0,2000-05-20
Aaliyah,Try Again,2,53.0,2000-03-25
matchbox twenty,Bent,2,37.0,2000-05-06
"Carey, Mariah",Thank God I Found You,2,68.0,1999-12-18
"Hill, Faith",Breathe,2,68.0,1999-11-13
Mya,Case Of The Ex (Whatcha Gonna Do),2,57.0,2000-08-26
Dream,He Loves U Not,2,92.0,2000-10-07
"Braxton, Toni",He Wasn't Man Enough,2,55.0,2000-03-25
"Anthony, Marc",You Sang To Me,2,54.0,2000-03-04
98¡,Give Me Just One Night (Una Noche),2,39.0,2000-08-26
Destiny's Child,Jumpin' Jumpin',2,71.0,2000-05-20
3 Doors Down,Kryptonite,2,70.0,2000-04-15
Sisqo,Thong Song,2,63.0,2000-02-05
"Aguilera, Christina",I Turn To You,2,39.0,2000-04-22
"Houston, Whitney",My Love Is Your Love,2,68.0,1999-09-11
Joe,I Wanna Know,2,86.0,2000-01-08
"Jordan, Montell",Get It On.. Tonite,2,80.0,1999-10-30
N'Sync,Bye Bye Bye,2,20.0,2000-02-05
Eminem,The Real Slim Shady,2,32.0,2000-05-13
Pink,Most Girls,2,70.0,2000-08-19
"Mumba, Samantha",Gotta Tell You,2,72.0,2000-09-16
Blaque,Bring It All To Me,2,63.0,1999-10-30
"Elliott, Missy ""Misdemeanor""",Hot Boyz,2,21.0,1999-12-04
"Gray, Macy",I Try,2,51.0,2000-02-26
N'Sync,This I Promise You,2,31.0,2000-10-07
Ruff Endz,No More,2,38.0,2000-07-08
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,2,62.0,2000-01-08
Nine Days,Absolutely (Story Of A Girl),2,71.0,2000-05-13
"Dion, Celine",That's The Way It Is,2,68.0,1999-11-20
Blink-182,All The Small Things,2,76.0,1999-12-11
Eiffel 65,Blue (Da Ba Dee),2,29.0,1999-12-18
"Badu, Erkyah",Bag Lady,2,53.0,2000-08-26
Pink,There U Go,2,15.0,2000-03-11
Creed,Higher,2,77.0,1999-09-18
Nelly,(Hot S**t) Country Grammar,2,99.0,2000-05-06
Next,Wifey,2,61.0,2000-06-03
Kenny G,Auld Lang Syne (The Millenium Mix),2,89.0,2000-01-01
Sonique,It Feels So Good,2,52.0,2000-01-29
"Spears, Britney",Oops!.. I Did It Again,2,38.0,2000-04-29
"Backstreet Boys, The",Shape Of My Heart,2,25.0,2000-10-21
Everclear,Wonderful,2,69.0,2000-07-15
Ja Rule,Between Me And You,2,74.0,2000-09-23
"Rimes, LeAnn",I Need You,2,68.0,2000-06-03
Smash Mouth,Then The Morning Comes,2,59.0,1999-11-06
Jay-Z,I Just Wanna Love U (Give It 2 Me),2,45.0,2000-11-04
Jagged Edge,Let's Get Married,2,66.0,2000-05-13
Filter,Take A Picture,2,74.0,1999-12-04
"Martin, Ricky",She Bangs,2,28.0,2000-10-14
Mystikal,Shake Ya Ass,2,90.0,2000-08-19
BBMak,Back Here,2,86.0,2000-05-06
"Spears, Britney",From The Bottom Of My Broken Heart,2,59.0,2000-02-05
Third Eye Blind,Never Let You Go,2,32.0,2000-01-29
Red Hot Chili Peppers,Otherside,2,72.0,2000-02-19
Profyle,Liar,2,32.0,2000-09-23
Barenaked Ladies,Pinch Me,2,76.0,2000-09-16
Jagged Edge,He Can't Love U,2,32.0,1999-12-18
504 Boyz,Wobble Wobble,2,34.0,2000-04-22
Sting,Desert Rose,2,88.0,2000-05-20
Jay-Z,Big Pimpin',2,52.0,2000-04-29
Kid Rock,Only God Knows Why,2,47.0,2000-02-26
Foo Fighters,Learn To Fly,2,69.0,1999-10-23
"Dixie Chicks, The",Goodbye Earl,2,29.0,2000-03-25
Guy,Dancin',2,29.0,1999-12-25
Lil Bow Wow,Bounce With Me,2,35.0,2000-08-26
Westlife,Swear It Again,2,82.0,2000-04-08
Train,Meet Virginia,2,67.0,1999-10-16
"Thomas, Carl",I Wish,2,64.0,2000-04-01
Hanson,This Time Around,2,22.0,2000-04-29
"Simpson, Jessica",I Think I'm In Love With You,2,52.0,2000-07-08
Ludacris,What's Your Fantasy,2,83.0,2000-10-07
Lil' Zane,Callin' Me,2,89.0,2000-08-05
M2M,Don't Say You Love Me,2,53.0,1999-11-27
SoulDecision,Faded,2,90.0,2000-07-15
"Brock, Chad",Yes!,2,77.0,2000-04-15
"Martin, Ricky",Shake Your Bon-Bon,2,66.0,1999-11-27
Vertical Horizon,You're A God,2,55.0,2000-09-02
Avant,Separated,2,32.0,2000-05-06
"Rimes, LeAnn",Big Deal,2,52.0,1999-10-23
IMx,Stay The Night,2,61.0,1999-10-16
Dr. Dre,The Next Episode,2,67.0,2000-06-03
"Spears, Britney",Lucky,2,41.0,2000-08-19
Savage Garden,Crash And Burn,2,58.0,2000-04-15
Kandi,Don't Think I'm Not,2,66.0,2000-08-12
Sammie,I Like It,2,68.0,2000-02-05
Goo Goo Dolls,Broadway,2,58.0,2000-04-29
"Moore, Mandy",I Wanna Be With You,2,63.0,2000-06-24
Dr. Dre,Forgot About Dre,2,55.0,2000-01-29
D'Angelo,Untitled (How Does It Feel),2,56.0,2000-01-29
"Messina, Jo Dee",That's The Way,2,67.0,2000-07-01
Avant,My First Love,2,62.0,2000-11-11
Son By Four,A Puro Dolor (Purest Of Pain),2,80.0,2000-04-15
Da Brat,What'Chu Like,2,65.0,2000-06-10
DMX,Party Up (Up In Here),2,74.0,2000-03-04
"Dixie Chicks, The",Cowboy Take Me Away,2,72.0,1999-12-04
"McGraw, Tim",My Next Thirty Years,2,62.0,2000-10-28
"Tritt, Travis",Best Of Intentions,2,86.0,2000-08-26
Alice Deejay,Better Off Alone,2,65.0,2000-04-15
Hoku,Another Dumb Blonde,2,49.0,2000-02-26
"Houston, Whitney",I Learned From The Best,2,83.0,2000-02-26
Counting Crows,Hanginaround,2,70.0,1999-11-13
Mary Mary,Shackles (Praise You),2,76.0,2000-04-01
"Carey, Mariah",Crybaby,2,34.0,2000-07-01
"McGraw, Tim",My Best Friend,2,76.0,1999-12-04
Sugar Ray,Falls Apart,2,64.0,2000-01-22
Madonna,American Pie,2,35.0,2000-02-26
"Jones, Donell",Where I Wanna Be,2,71.0,2000-04-29
"Paisley, Brad",We Danced,2,68.0,2000-10-21
Lonestar,What About Now,2,72.0,2000-06-17
"Backstreet Boys, The",The One,2,50.0,2000-06-03
"Keith, Toby",How Do You Like Me Now?!,2,72.0,2000-02-05
"Strait, George",The Best Day,2,64.0,2000-02-05
"Dixie Chicks, The",Without You,2,70.0,2000-10-14
Musiq,Just Friends (Sunny),2,83.0,2000-10-21
"McEntire, Reba",What Do You Say,2,76.0,1999-11-06
"Braxton, Toni",Just Be A Man About It,2,69.0,2000-08-05
"Iglesias, Enrique",Rhythm Divine,2,84.0,1999-12-11
"Fabian, Lara",I Will Love Again,2,80.0,2000-06-17
Bon Jovi,It's My Life,2,58.0,2000-08-19
"Evans, Sara",Born To Fly,2,71.0,2000-10-28
"Chesney, Kenny",I Lost It,2,67.0,2000-10-28
J-Shin,One Night Stand,2,96.0,2000-01-01
Eve,Love Is Blind,2,91.0,2000-01-15
Aaliyah,I Don't Wanna,2,62.0,2000-02-05
"Montgomery, John Michael",The Little Girl,2,67.0,2000-09-16
"Carter, Aaron",Aaron's Party (Come Get It),2,75.0,2000-09-02
"Vassar, Phil",Just Another Day In Paradise,2,81.0,2000-10-07
Ice Cube,You Can Do It,2,66.0,1999-12-11
"Wills, Mark",Back At One,2,55.0,2000-01-22
Lucy Pearl,Dance Tonight,2,75.0,2000-05-27
"Jackson, Alan",It Must Be Love,2,74.0,2000-07-01
"Griggs, Andy",She's More,2,76.0,2000-03-18
No Doubt,Simple Kind Of Life,2,40.0,2000-07-08
"Jean, Wyclef",911,2,74.0,2000-10-14
Rascal Flatts,Prayin' For Daylight,2,78.0,2000-05-13
Vitamin C,Graduation (Friends Forever),2,64.0,2000-04-22
"Gilman, Billy",One Voice,2,86.0,2000-06-24
Lonestar,Smile,2,80.0,1999-12-25
"Rogers, Kenny",Buy Me A Rose,2,72.0,2000-03-18
"Lawrence, Tracy",Lessons Learned,2,73.0,2000-02-05
"Strait, George",Go On,2,67.0,2000-09-02
Sisqo,Got To Get It,2,76.0,1999-11-27
Baha Men,Who Let The Dogs Out,2,92.0,2000-07-29
"Walker, Clay",The Chain Of Love,2,65.0,2000-04-22
"McBride, Martina",Love's The Only House,2,69.0,2000-02-12
Amber,Sexual (Li Da Di),2,99.0,1999-07-24
